geoid,name,county,state,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
36047021600,Census Tract 216, Kings County, New York,4583,37679,1027800,443,3894,0,0,533,0,0,0,156
36047021700,Census Tract 217, Kings County, New York,3906,58289,945800,1421,929,1810,0,390,0,42,135,600
36047021800,Census Tract 218, Kings County, New York,4381,30694,872300,316,3313,26,0,390,0,0,75,577
36047021900,Census Tract 219, Kings County, New York,3639,60203,1047700,1123,798,2156,0,243,0,17,79,346
36047022000,Census Tract 220, Kings County, New York,4538,31121,846200,379,3867,122,0,267,0,0,0,282
36047022100,Census Tract 221, Kings County, New York,4014,43011,668100,1255,1251,1920,61,121,0,56,41,564
36047022200,Census Tract 222, Kings County, New York,4180,29931,732100,352,3701,0,0,16,0,42,0,421
36047022400,Census Tract 224, Kings County, New York,5895,39839,794800,560,4094,6,0,828,0,0,0,967
36047022600,Census Tract 226, Kings County, New York,2287,44097,550000,153,424,47,0,154,0,0,34,1628
36047022700,Census Tract 227, Kings County, New York,3972,72762,971500,1249,894,2395,0,169,10,12,117,375
36047022800,Census Tract 228, Kings County, New York,3313,31875,668600,261,2075,30,2,854,0,0,35,317
36047022900,Census Tract 229, Kings County, New York,3719,60625,619700,1442,1156,1882,26,369,0,29,98,185
36047023000,Census Tract 230, Kings County, New York,4141,36667,775000,318,2977,59,0,275,0,0,78,752
36047023100,Census Tract 231, Kings County, New York,3535,70903,859400,1435,1334,1496,0,135,0,39,211,320
36047023200,Census Tract 232, Kings County, New York,5606,33628,788600,285,4742,0,0,228,0,0,0,636
36047023300,Census Tract 233, Kings County, New York,4939,33536,726400,1221,1099,2452,0,207,0,0,142,1039
36047023400,Census Tract 234, Kings County, New York,4957,26045,854200,287,4811,0,18,0,0,0,27,101
36047023500,Census Tract 235, Kings County, New York,4062,40032,638300,818,2235,670,0,243,0,15,40,859
36047023600,Census Tract 236, Kings County, New York,5567,24886,1012500,542,5165,13,60,262,0,0,0,79
36047023800,Census Tract 238, Kings County, New York,4043,27871,990000,403,3709,0,9,0,0,0,32,293
36047024000,Census Tract 240, Kings County, New York,4310,29844,804300,372,3981,66,0,0,0,41,13,209
36047024100,Census Tract 241, Kings County, New York,2712,58438,567800,783,1285,629,0,159,0,4,22,613
36047024200,Census Tract 242, Kings County, New York,2987,52750,852200,298,2629,0,0,205,0,0,0,153
36047024300,Census Tract 243, Kings County, New York,4168,53702,921600,1543,1154,2008,0,198,0,0,155,653
36047024400,Census Tract 244, Kings County, New York,3782,48188,846600,415,2861,13,0,484,0,0,0,424
